AÑO_EVAL;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;MRUN;CLAVE;DOC_GENERO;NIVEL;SUBSECT;AE_PJE;EP_PJE;IRT_PJE;PF_PJE;PF_ESC;INSTR_PJE;CCE_ESC
2018;1610;1;COLEGIO ALBERTO HURTADO SEGUNDO;5;51;5101;VALPARAISO;53;VALPARAISO;3;2;0;7084849;IJ1437810021;2;2;G;-1;-1;-1;2,6;C;-1;-1
2018;1610;1;COLEGIO ALBERTO HURTADO SEGUNDO;5;51;5101;VALPARAISO;53;VALPARAISO;3;2;0;18191574;WW1432493221;2;1;P;-1;-1;-1;1,95;I;-1;-1
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;4094590;CA1055752911;1;7;ELECTRI;4;3;3;1,75;I;2,35;C
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;16214563;CA1077127211;1;7;CONST_MET;4;3;2;2,68;C;2,81;C
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;1203420;CA1092114811;1;7;MEC_IND;4;1;3;1,8;I;1,98;B
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;3728550;CA1093175611;1;7;CONST_MET;3;3;3;2,39;B;2,51;C
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;15263092;CB1046217721;2;4;Q;4;3;3;1,98;I;2,49;B
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;16316207;CC1016298121;2;5;DEA;3;3;3;2,45;B;2,67;C
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;19693573;QS5331518811;1;4;EF;4;3;2;2,1;B;2,46;B
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;11414476;RS1673359111;1;4;H;4;2;3;2,53;C;2,62;C
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;11468555;RS1828038121;2;4;I;4;3;3;2,58;C;2,85;C
2018;1664;0;LICEO INDUSTRIAL MIRAFLORES ALTO;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;17757621;SR1233276115;2;5;DEA;4;3;3;2,63;C;2,88;C
2018;1667;5;ESCUELA ESPECIAL ADOLFO TANNENBAUM B.;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;11245945;CA1101120321;2;5;DEA;4;2;3;2,28;B;2,47;C
2018;1667;5;ESCUELA ESPECIAL ADOLFO TANNENBAUM B.;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;12601369;CB1032589821;2;3;AV;4;3;3;2,15;B;2,59;C
2018;1667;5;ESCUELA ESPECIAL ADOLFO TANNENBAUM B.;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;21368993;ED1232719221;2;2;G;4;3;3;2,2;B;2,62;C
2018;1667;5;ESCUELA ESPECIAL ADOLFO TANNENBAUM B.;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;17322211;ED1446615023;2;1;P;4;4;3;2;B;2,7;C
2018;1667;5;ESCUELA ESPECIAL ADOLFO TANNENBAUM B.;5;51;5109;VIÃ‘A DEL MAR;53;VALPARAISO;1;1;0;22646760;FF1100517311;1;3;CS;4;3;3;2,2;B;2,62;C
